snp	env_var	pval	r2	max_freq_diff	mean_freq	score
SNP1	dis_var	0.185326092284178	0.207930678554998	0.571428571	0.678391331	0.355681377961982
SNP2	dis_var	0.72348595241622	0.0165142241125546	1	0.6209366809	0.263921612902063
SNP3	dis_var	0.834660381329362	0.00577929212722429	0.8	0.3711111111	0.231874624043925
SNP4	dis_var	0.748605422825983	0.0135702032154446	0.8	0.5230947714	0.230789640788774
SNP5	dis_var	0.666073625341477	0.024468349415791	0.8	0.5330947714	0.244962861825625
SNP1	temp_var	0.00440905461765945	0.657800790013048	0.571428571	0.678391331	0.67282497966416
SNP2	temp_var	0.610360784765309	0.0339477922336706	1	0.6209366809	0.286317817140037
SNP3	temp_var	0.470563441685826	0.0668987255557312	0.8	0.3711111111	0.307296812009933
SNP4	temp_var	0.382643851567072	0.096379479357684	0.8	0.5230947714	0.32084930786064
SNP5	temp_var	0.32124617899613	0.122606814046676	0.8	0.5330947714	0.343229214088629
SNP1	elev_var	0.164481090506955	0.226433819306999	0.571428571	0.678391331	0.37000204339448
SNP2	elev_var	0.6389052151492	0.0288629972601349	1	0.6209366809	0.280209436644928
SNP3	elev_var	0.509151732859221	0.0563141250620398	0.8	0.3711111111	0.296565336330958
SNP4	elev_var	0.516535662892538	0.0544295584679384	0.8	0.5230947714	0.280131092855527
SNP5	elev_var	0.423095482124347	0.081792815970919	0.8	0.5330947714	0.306319948406865
SNP1	wind_var	0.873897646288317	0.00334545437035384	0.571428571	0.678391331	0.153712985267063
SNP2	wind_var	0.472559713516086	0.0663194618512911	1	0.6209366809	0.321022841765995
SNP3	wind_var	0.491863072451309	0.0608997486078821	0.8	0.3711111111	0.30126895778132
SNP4	wind_var	0.877257935795655	0.00316841379807176	0.8	0.5230947714	0.2116024942277
SNP5	wind_var	0.71289814129674	0.0178505833616215	0.8	0.5330947714	0.236091540079487
